Area,Year,Age,Sex,Legally registered relationship status,Ethnic group,Value,Flags
"Kaipatiki Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",4479,
"Kaipatiki Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",2982,
"Kaipatiki Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",16548,
"Kaipatiki Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",1485,
"Kaipatiki Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",825,
"Devonport-Takapuna Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",33096,
"Devonport-Takapuna Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",2025,
"Devonport-Takapuna Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",771,
"Devonport-Takapuna Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",8376,
"Devonport-Takapuna Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",732,
"Devonport-Takapuna Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",612,
"Henderson-Massey Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",43905,
"Henderson-Massey Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",10236,
"Henderson-Massey Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",12666,
"Henderson-Massey Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",16887,
"Henderson-Massey Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",1533,
"Henderson-Massey Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",786,
"Waitakere Ranges Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",27672,
"Waitakere Ranges Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",3228,
"Waitakere Ranges Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",3183,
"Waitakere Ranges Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",3195,
"Waitakere Ranges Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",498,
"Waitakere Ranges Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",489,
"Great Barrier Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",621,
"Great Barrier Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",102,
"Great Barrier Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",9,
"Great Barrier Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",6,
"Great Barrier Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",3,
"Great Barrier Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",21,
"Waiheke Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",5796,
"Waiheke Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",609,
"Waiheke Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",159,
"Waiheke Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",198,
"Waiheke Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",90,
"Waiheke Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",105,
"Waitemata Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",39651,
"Waitemata Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",3633,
"Waitemata Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",2976,
"Waitemata Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",18864,
"Waitemata Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",2214,
"Waitemata Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",675,
"Whau Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",24804,
"Whau Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",4359,
"Whau Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",8586,
"Whau Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",19416,
"Whau Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",1179,
"Whau Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",456,
"Albert-Eden Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",45480,
"Albert-Eden Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",4542,
"Albert-Eden Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",5064,
"Albert-Eden Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",20499,
"Albert-Eden Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",1437,
"Albert-Eden Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",816,
"Puketapapa Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",16026,
"Puketapapa Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",1998,
"Puketapapa Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",5394,
"Puketapapa Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",18252,
"Puketapapa Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",1164,
"Puketapapa Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",297,
"Orakei Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",46941,
"Orakei Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",2544,
"Orakei Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",1503,
"Orakei Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",10941,
"Orakei Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",1056,
"Orakei Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",885,
"Maungakiekie-Tamaki Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",24888,
"Maungakiekie-Tamaki Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",5796,
"Maungakiekie-Tamaki Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",10899,
"Maungakiekie-Tamaki Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",12345,
